"census.tract","priority"
"009600",0.0455867846
"009800",0.2920487851
"010000",0.1339180366
"010100",0.9892353804
"010200",-0.0010810666
"010400",0.3118501558
"010600",0.254242439
"010800",0.3905115398
"011000",0.6661089011
"011200",0.2791057322
"011400",0.188310336
"011600",0.2296647264
"011700",0.4930383574
"011800",0.3846932004
"012000",0.4221955747
"012100",0.4271204871
"012200",0.6573961896
"012700",-0.3878151527
"012801",0.241650979
"012901",0.1855214789
"012902",0.3120276854
"013000",0.0332642153
"013100",-0.0389050739
"050300",0.5266689153
"050400",0.2016920766
"050500",0.3309945886
"050600",-0.3613836639
"050700",0.3799494542
"050900",0.0743129009
"051100",0.7763433913
"051200",-0.5487569912
"051300",0.6487265905
"051400",-0.0940714036
"051500",0.8567160037
"051700",0.809561747
"051800",-0.4771614347
"051900",0.9963756196
"052000",-0.366249717
"052300",0.5887229578
"052500",0.497458426
"052600",-0.3756168361
"052700",0.4479425113
"052800",-0.767512028
"052900",0.1405046608
"053000",-0.0057178328
"053100",0.0891051686
"053200",-0.24421765
"053300",-0.3376738416
"044400",0.0287493899
"044500",0.2214553127
"044600",0.3516669943
"044700",0.9566375833
"044800",0.1084224883
"045000",-0.6889991496
"045200",-0.1913691942
"045300",1.071435329
"045400",0.5494013437
"045600",-0.0386753655
"045800",-0.5239189048
"046201",-0.3372133513
"046202",-0.0703017545
"046400",0.1507389264
"046800",0.7826685616
"047000",0.0638502435
"047200",0.1385695735
"047400",0.1502326802
"047600",0.2515970165
"047700",0.8772902788
"047800",0.3589457785
"048000",-0.6164382764
"048100",0.590816923
"048200",-0.2103033366
"048400",-0.2057920372
"013200",0.4415999867
"013300",-0.0660751227
"013400",0.0549187132
"013500",-0.1680474945
"013600",0.0730096109
"013700",0.3508794969
"013800",0.0128598496
"013900",-0.0496904159
"014000",0.230797355
"014100",0.3024872916
"014200",0.0503103809
"014300",0.8608340262
"014500",1.099384028
"014700",0.9602130014
"014800",0.3860704812
"014900",0.33382641
"015000",0.418334546
"015100",0.2626516109
"015300",-0.0004264682
"015400",0
"015500",-0.0306471177
